model,trial,val_acc,is_best_retrain,lr,weight_decay,label_smoothing,dropout,batch_size,test_acc,test_top3
efficientnet_b3_concat_linear,11,0.9222343921139102,False,5.679099186868632e-05,0.000537284525888185,0.19040664166605276,0.37878475055605976,16,,
efficientnet_b3_concat_linear,12,0.9331872946330778,False,4.5018414412409155e-05,0.0012672826384589795,0.0808956229876408,0.2998442820294011,32,,
efficientnet_b3_concat_linear,best_retrain,0.9419496166484118,True,3.0955664602423724e-05,5.415244119402541e-06,0.06084844859190755,0.20990257265289514,32,0.9419496166484118,0.9868565169769989
mobilenet_cross_attention_mlp,0,0.9058050383351588,False,0.0001025350969016849,0.006351221010640704,0.146398788362281,0.23946339367881464,8,,
mobilenet_cross_attention_mlp,1,0.11500547645125958,False,0.002176624112345368,0.00025378155082656634,0.1416145155592091,0.008233797718320978,8,,
mobilenet_cross_attention_mlp,2,0.9255202628696605,False,3.0955664602423724e-05,5.415244119402541e-06,0.06084844859190755,0.20990257265289514,32,,
mobilenet_cross_attention_mlp,3,0.9255202628696605,False,2.3795221163877236e-05,1.4742753159914662e-05,0.07327236865873835,0.1824279936868144,8,,
mobilenet_cross_attention_mlp,4,0.8817086527929902,False,0.00039710847107924746,1.5339162591163623e-06,0.12150897038028768,0.06820964947491662,32,,
mobilenet_cross_attention_mlp,6,0.9134720700985761,False,1.2382649697023537e-05,0.004337920697490943,0.05175599632000338,0.2650089137415928,32,,
mobilenet_cross_attention_mlp,7,0.9222343921139102,False,3.154399030833095e-05,0.00755681014127443,0.15502656467222292,0.37579957662567565,32,,
mobilenet_cross_attention_mlp,12,0.9266155531215772,False,3.3709409748514875e-05,1.0868341103320917e-06,0.06597756658352874,0.18447145837745157,16,,
mobilenet_cross_attention_mlp,best_retrain,0.9430449069003286,True,3.3709409748514875e-05,1.0868341103320917e-06,0.06597756658352874,0.18447145837745157,16,0.9299014238773274,0.9879518072289156
mobilenet_concat_mlp,0,0.9090909090909091,False,0.0001025350969016849,0.006351221010640704,0.146398788362281,0.23946339367881464,8,,
mobilenet_concat_mlp,1,0.09090909090909091,False,0.002176624112345368,0.00025378155082656634,0.1416145155592091,0.008233797718320978,8,,
mobilenet_concat_mlp,2,0.927710843373494,False,3.0955664602423724e-05,5.415244119402541e-06,0.06084844859190755,0.20990257265289514,32,,
mobilenet_concat_mlp,3,0.9222343921139102,False,2.3795221163877236e-05,1.4742753159914662e-05,0.07327236865873835,0.1824279936868144,8,,
mobilenet_concat_mlp,4,0.8685651697699891,False,0.00039710847107924746,1.5339162591163623e-06,0.12150897038028768,0.06820964947491662,32,,
mobilenet_concat_mlp,7,0.9299014238773274,False,3.154399030833095e-05,0.00755681014127443,0.15502656467222292,0.37579957662567565,32,,
mobilenet_concat_mlp,9,0.9233296823658269,False,9.180504074572426e-05,1.329652145729951e-05,0.1085392166316497,0.05636968998990506,32,,
mobilenet_concat_mlp,best_retrain,0.9353778751369113,True,3.154399030833095e-05,0.00755681014127443,0.15502656467222292,0.37579957662567565,32,0.9364731653888281,0.9846659364731654
